DataValue,5.0000000000000008E-07,-2.9386676000000003E-08,-0.000979711068794,5.0000000000000008E-07,5.0000000000000008E-07
DataValue,1.5E-06,-3.8888601E-08,-0.0008881866233420001,1.5E-06,1.5E-06
DataValue,2.5E-06,3.8028443E-08,-0.00053968979045700008,2.5E-06,2.5E-06
DataValue,3.5000000000000004E-06,9.6288417000000012E-08,-0.000592492346186,3.5000000000000004E-06,3.5000000000000004E-06
DataValue,4.5E-06,-1.1837185800000001E-07,-0.0008952269563450001,4.5E-06,4.5E-06
DataValue,5.5000000000000007E-06,-3.2923889000000005E-08,-0.00057841168018100009,5.5000000000000007E-06,5.5000000000000007E-06
DataValue,6.5000000000000004E-06,3.8236511E-08,-0.000303838460241,6.5000000000000004E-06,6.5000000000000004E-06
DataValue,7.5E-06,1.6319664000000002E-08,-0.000391842680983,7.5E-06,7.5E-06
DataValue,8.5E-06,-4.8806669000000005E-08,-0.000300318293739,8.5E-06,8.5E-06
DataValue,9.5E-06,-1.8636323000000003E-08,-0.00050096795894200008,9.5E-06,9.5E-06
DataValue,1.0500000000000001E-05,5.2593435E-08,-0.000497447792441,1.0500000000000001E-05,1.0500000000000001E-05
DataValue,1.15E-05,4.8223939000000006E-08,-0.00050096795894200008,1.15E-05,1.15E-05
DataValue,1.25E-05,-3.9790244000000006E-08,-0.000546730181668,1.25E-05,1.25E-05
DataValue,1.3500000000000001E-05,1.08980771E-07,-0.000684016791638,1.3500000000000001E-05,1.3500000000000001E-05
DataValue,1.45E-05,-1.30578712E-07,-0.00065937556792100007,1.45E-05,1.45E-05
DataValue,1.55E-05,-2.1986860000000004E-09,-0.000437604903709,1.55E-05,1.55E-05
DataValue,1.65E-05,-5.8239237E-08,-0.000444645236712,1.65E-05,1.65E-05
DataValue,1.7500000000000002E-05,1.16748765E-07,-0.00057489151367900006,1.7500000000000002E-05,1.7500000000000002E-05
DataValue,1.8500000000000002E-05,-1.82180401E-07,-0.000321439292748,1.8500000000000002E-05,1.8500000000000002E-05
DataValue,1.95E-05,2.01572519E-07,-0.00028623759863,1.95E-05,1.95E-05
DataValue,2.05E-05,-6.4273301E-08,-0.00034256032086000003,2.05E-05,2.05E-05
DataValue,2.15E-05,-9.6246936000000008E-08,-0.000349600653863,2.15E-05,2.15E-05
DataValue,2.25E-05,1.3207669300000002E-07,-0.000849464733619,2.25E-05,2.25E-05
DataValue,2.3500000000000002E-05,-1.3702892E-07,-0.000747379846871,2.3500000000000002E-05,2.3500000000000002E-05
DataValue,2.4500000000000003E-05,-2.9664104000000004E-08,-0.00068753695813900009,2.4500000000000003E-05,2.4500000000000003E-05
DataValue,2.5500000000000003E-05,-7.0307372000000008E-08,-0.000669936067425,2.5500000000000003E-05,2.5500000000000003E-05
DataValue,2.65E-05,2.3602160000000003E-08,-0.00064529490191500007,2.65E-05,2.65E-05
DataValue,2.75E-05,-5.5742380000000006E-08,-0.000557290681172,2.75E-05,2.75E-05
DataValue,2.85E-05,4.3993154000000005E-08,-0.000736819289159,2.85E-05,2.85E-05
DataValue,2.9500000000000002E-05,8.1355240000000013E-09,-0.000553770514671,2.9500000000000002E-05,2.9500000000000002E-05
DataValue,3.0500000000000003E-05,1.9054473900000002E-07,-0.00070865795714800009,3.0500000000000003E-05,3.0500000000000003E-05
DataValue,3.15E-05,5.3772506E-08,-0.00047984693083,3.15E-05,3.15E-05
DataValue,3.2500000000000004E-05,-3.44129262E-07,-0.0005643310141750001,3.2500000000000004E-05,3.2500000000000004E-05
DataValue,3.35E-05,3.9970441000000005E-08,-0.000497447792441,3.35E-05,3.35E-05
DataValue,3.4500000000000005E-05,9.4831918E-08,-0.000740339513868,3.4500000000000005E-05,3.4500000000000005E-05
DataValue,3.55E-05,1.7498735E-08,-0.000610093236901,3.55E-05,3.55E-05
DataValue,3.65E-05,-2.9456032000000003E-08,-0.000648815068416,3.65E-05,3.65E-05
DataValue,3.7500000000000003E-05,-1.61650689E-07,-0.0007649806793780001,3.7500000000000003E-05,3.7500000000000003E-05
DataValue,3.85E-05,3.5254157E-08,-0.0005643310141750001,3.85E-05,3.85E-05
DataValue,3.9500000000000005E-05,-4.9916380000000004E-08,-0.000314398959745,3.9500000000000005E-05,3.9500000000000005E-05
DataValue,4.05E-05,1.0773234E-07,-0.000236955238506,4.05E-05,4.05E-05
DataValue,4.1500000000000006E-05,2.5821588000000002E-08,-0.00021583421039400003,4.1500000000000006E-05,4.1500000000000006E-05
DataValue,4.25E-05,-8.4872369000000009E-08,-0.000321439292748,4.25E-05,4.25E-05
DataValue,4.35E-05,-1.0297457500000001E-07,-0.00037776201497800003,4.35E-05,4.35E-05
DataValue,4.4500000000000004E-05,8.8936567E-08,-0.000620653736405,4.4500000000000004E-05,4.4500000000000004E-05
DataValue,4.55E-05,8.3318639000000007E-08,-0.000518568791449,4.55E-05,4.55E-05
DataValue,4.6500000000000005E-05,-1.55547269E-07,-0.00020527371089,4.6500000000000005E-05,4.6500000000000005E-05
DataValue,4.75E-05,-4.1316099000000006E-08,-0.00014191065565700002,4.75E-05,4.75E-05
DataValue,4.85E-05,2.6099016000000003E-08,-0.000272156932624,4.85E-05,4.85E-05
DataValue,4.9500000000000004E-05,4.0941440000000004E-08,-0.000420004042098,4.9500000000000004E-05,4.9500000000000004E-05
DataValue,5.05E-05,-5.2760022000000004E-08,-0.00042352420860000006,5.05E-05,5.05E-05
DataValue,5.1500000000000005E-05,9.8091704000000014E-08,-0.00045520573621600003,5.1500000000000005E-05,5.1500000000000005E-05
